S no,Brand,Model,Reference Number,Watch Name,Price,Year Of Production,Scope of delivery,Gender,Location,Source Url
10,Rolex,Air King Precision,5500, Rolex Air King Precision 5500 - 1972 in mint condition,"2,849 €",1972," No original box, no original papers", Men''s watch/Unisex,"Belgium, Antwerp",https://www.chrono24.fr/rolex/air-king-precision-5500---1972-in-mint-condition--id16563553.htm?SETLANG=en_GB&SETCURR=EUR
11,Rolex,Air King,114200, Rolex Air-King,"4,900 €",2016," Original box, original papers", Men''s watch/Unisex,"France, LYON - Tassin La Demi Lune",https://www.chrono24.fr/rolex/rolex-air-king--id15720912.htm?SETLANG=en_GB&SETCURR=EUR
12,Rolex,Air King Precision,5500, Rolex Air King,"3,300 €",1987," No original box, no original papers", Men''s watch/Unisex,"France, Paris",https://www.chrono24.fr/rolex/rolex-air-king--id15595045.htm?SETLANG=en_GB&SETCURR=EUR
13,Rolex,Air King Precision,5500, Rolex Air King Precision 34mm 5500 silver dial,"3,450 €",1968," No original box, no original papers", Men''s watch/Unisex,"France, Thonon les bains",https://www.chrono24.fr/rolex/air-king-precision-34mm-5500-silver-dial--id13387856.htm?SETLANG=en_GB&SETCURR=EUR
14,Rolex,Air King,116900, Rolex Air King,"7,100 €",2018," Original box, original papers", Men''s watch/Unisex,"France, Argenteuil",https://www.chrono24.fr/rolex/air-king--id16426672.htm?SETLANG=en_GB&SETCURR=EUR
15,Rolex,Air King,116900, Rolex Air King,"7,300 €",2019," Original box, original papers", Men''s watch/Unisex,"France, paris",https://www.chrono24.fr/rolex/air-king--id15179420.htm?SETLANG=en_GB&SETCURR=EUR
16,Rolex,Air King,114200, Rolex Air King 114200 Cadran gris 3-6-9,"4,800 €",2011," Original box, original papers", Men''s watch/Unisex,"France, Bastia",https://www.chrono24.fr/rolex/rolex-air-king-114200-cadran-gris-3-6-9--id13108825.htm?SETLANG=en_GB&SETCURR=EUR
17,Rolex,Air King,116900, Rolex Air-King 116900 new 07-2020 Italian dealer,"7,299 €",2020," Original box, original papers", Men''s watch/Unisex,"Italy, Napoli - San Giorgio Cremano",https://www.chrono24.fr/rolex/rolex-air-king-116900-new-07-2020-italian-dealer--id16059487.htm?SETLANG=en_GB&SETCURR=EUR
18,Rolex,Air King Precision,5500, Rolex Air King Precision,"2,900 €",1983," No original box, no original papers", Men''s watch/Unisex,"France, rhone alpes",https://www.chrono24.fr/rolex/rolex-air-king-precision--id10745482.htm?SETLANG=en_GB&SETCURR=EUR
19,Rolex,Air King Precision,14010, Rolex Air-King,"3,450 €",1991," No original box, no original papers", Men''s watch/Unisex,"France, paris",https://www.chrono24.fr/rolex/rolex-air-king--id16513413.htm?SETLANG=en_GB&SETCURR=EUR
20,Rolex,Air King,114200, Rolex Air-King 34MM,"4,550 €",2013," Original box, original papers", Men''s watch/Unisex,"France, nice",https://www.chrono24.fr/rolex/rolex-air-king-34mm--id16550191.htm?SETLANG=en_GB&SETCURR=EUR
21,,,,Rolex Air King,,,,,,https://www.chrono24.fr/rolex/rolex-air-king--id16342778.htm?SETLANG=en_GB&SETCURR=EUR
22,Rolex,Air King Precision,14000, Rolex Air King Precision 34mm 14000 silver dial,"3,950 €",1993," No original box, no original papers", Men''s watch/Unisex,"France, Thonon les bains",https://www.chrono24.fr/rolex/air-king-precision-34mm-14000-silver-dial--id13387689.htm?SETLANG=en_GB&SETCURR=EUR
23,Rolex,Air King Precision,14000M, Rolex 14000M Air King Precision Aftermarket Dial from 2001,"3,490 €",2001," No original box, no original papers", Men''s watch/Unisex,"France, Lyon",https://www.chrono24.fr/rolex/14000m-air-king-precision-aftermarket-dial-from-2001--id12437221.htm?SETLANG=en_GB&SETCURR=EUR
24,,,,Rolex Air King Precision,,,,,,https://www.chrono24.fr/rolex/oyster-perpetual--id14648373.htm?SETLANG=en_GB&SETCURR=EUR
25,Rolex,Air King Precision,14000, Rolex Air King Precision 14000,"4,400 €",1996," Original box, original papers", Men''s watch/Unisex,"France, Bastia",https://www.chrono24.fr/rolex/rolex-air-king-precision-14000--id14925061.htm?SETLANG=en_GB&SETCURR=EUR
26,Rolex,Air King Precision,5500, Rolex Air King Precision 34mm Grey Diamond Dial,"3,890 €",1969," Original box, no original papers", Men''s watch/Unisex,"France, Paris",https://www.chrono24.fr/rolex/rolex-air-king-precision-34mm-grey-diamond-dial--id13136756.htm?SETLANG=en_GB&SETCURR=EUR
27,Rolex,Air King Precision,14000 14000, Rolex Montre Rolex Air King en acier Ref : 14000 Vers 1991,"4,690 €",1991," Original papers, no original box", Women''s watch,"France, Paris",https://www.chrono24.fr/rolex/montre-rolex-air-king-en-acier-ref--14000-vers-1991--id15673862.htm?SETLANG=en_GB&SETCURR=EUR
28,Rolex,Air King Precision,14000, Rolex Air-King 14000,"4,590 €",1997," Original papers, no original box", Men''s watch/Unisex,"France, Marseille",https://www.chrono24.fr/rolex/rolex-air-king-14000--id16384566.htm?SETLANG=en_GB&SETCURR=EUR
29,Rolex,Air King Precision,14010, Rolex Air King Precision,"3,590 €",Unknown," Original box, no original papers", Men''s watch/Unisex,"Belgium, Brussel",https://www.chrono24.fr/rolex/rolex-air-king-precision--id14323095.htm?SETLANG=en_GB&SETCURR=EUR
30,Rolex,Air King,116900, Rolex Air King Black Arab 40mm,"7,990 €",Unknown," Original box, original papers", Men''s watch/Unisex,"Belgium, Antwerp",https://www.chrono24.fr/rolex/air-king-black-arab-40mm--id16389213.htm?SETLANG=en_GB&SETCURR=EUR
31,Rolex,Air King Precision,14010, Rolex Air King Precision,"4,100 €",1997," No original box, no original papers", Men''s watch/Unisex,"France, Lyon",https://www.chrono24.fr/rolex/air-king-precision--id15405721.htm?SETLANG=en_GB&SETCURR=EUR
32,Rolex,Air King Precision,14000, Rolex 14000 Air King Precision Aftermarket Dial,"3,490 €",1991," No original box, no original papers", Men''s watch/Unisex,"France, Lyon",https://www.chrono24.fr/rolex/14000-air-king-precision-aftermarket-dial--id12437760.htm?SETLANG=en_GB&SETCURR=EUR
33,Rolex,Air King Precision,5500," Rolex Air King Precision 5500 with original box, 1959","2,769 €",1959," Original box, no original papers", Men''s watch/Unisex,"United Kingdom, London",https://www.chrono24.fr/rolex/air-king-precision-5500-with-original-box-1959--id15888978.htm?SETLANG=en_GB&SETCURR=EUR
34,Rolex,Air King,, Rolex Air-King 116900 Full Set 2017,"6,950 €",2017," Original box, original papers",,"Belgium, Bruxelles",https://www.chrono24.fr/rolex/air-king-116900-full-set-2017--id16401420.htm?SETLANG=en_GB&SETCURR=EUR
35,Rolex,Air King Precision,5500, Rolex Air King Precision,"2,999 €",Unknown," No original box, no original papers", Men''s watch/Unisex,"Belgium, bruxelles",https://www.chrono24.fr/rolex/air-king-precision--id11842289.htm?SETLANG=en_GB&SETCURR=EUR
36,Rolex,Air King,114200 114200, Rolex Montre Rolex Air King en acier Ref : 114200 Vers 2008,"4,750 €",2008," Original papers, no original box",,"France, Paris",https://www.chrono24.fr/rolex/montre-rolex-air-king-en-acier-ref--114200-vers-2008--id15927357.htm?SETLANG=en_GB&SETCURR=EUR
37,Rolex,Air King Precision,14000M, Rolex Air-King,"3,726 €",2005," No original box, no original papers", Men''s watch/Unisex,"United States of America, California, SAN DIEGO",https://www.chrono24.fr/rolex/rolex-air-king--id16025927.htm?SETLANG=en_GB&SETCURR=EUR
38,Rolex,Air King Precision,5500, Rolex Vintage Air King Precision Pink Custom Dial,"3,200 €",1981," No original box, no original papers", Men''s watch/Unisex,"France, Paris",https://www.chrono24.fr/rolex/vintage-air-king-precision-pink-custom-dial--id8729915.htm?SETLANG=en_GB&SETCURR=EUR
39,Rolex,Air King,116900, Rolex Air-King Ref.116900 - NEW,"7,400 €",2020," Original box, original papers",,"France, Paris",https://www.chrono24.fr/rolex/rolex-air-king-ref116900---new--id6536764.htm?SETLANG=en_GB&SETCURR=EUR
40,Rolex,Air King Precision,14000, Rolex Air-King,"4,100 €",2005," No original box, no original papers", Men''s watch/Unisex,"France, Lyon",https://www.chrono24.fr/rolex/rolex-air-king--id16432551.htm?SETLANG=en_GB&SETCURR=EUR
41,Rolex,Air King Precision,14000," Rolex Airking 34mm White Roman Dial Automatic Watch C. 2005 14000, Papers","3,507 €",Unknown," No original box, no original papers",,"United States of America, Florida, Naples",https://www.chrono24.fr/rolex/airking-34mm-white-roman-dial-automatic-watch-c-2005-14000-papers--id15294789.htm?SETLANG=en_GB&SETCURR=EUR
42,Rolex,Air King,6552, Rolex Air King,"2,450 €",1957," No original box, no original papers", Men''s watch/Unisex,"The Netherlands, Goor",https://www.chrono24.fr/rolex/air-king--id15009901.htm?SETLANG=en_GB&SETCURR=EUR
43,Rolex,Air King,114200, Rolex Air King Top Zustand Box und Rolex Karte,"4,490 €",2010," Original box, original papers", Men''s watch/Unisex,"Germany, München",https://www.chrono24.fr/rolex/rolex-rolex-air-king-top-zustand-box-und-rolex-karte--id15140922.htm?SETLANG=en_GB&SETCURR=EUR
44,Rolex,Air King Precision,5500, Rolex Air King Precision 1978,"2,990 €",1978," No original box, no original papers", Men''s watch/Unisex,"Belgium, bruxelles",https://www.chrono24.fr/rolex/air-king-precision-1978--id10958164.htm?SETLANG=en_GB&SETCURR=EUR
45,Rolex,Air King,116900, Rolex Air-King 116900 UNWORN 2020,,2020," Original box, original papers", Men''s watch/Unisex,"United States of America, New Jersey, Woodbridge",https://www.chrono24.fr/rolex/rolex-air-king-116900-unworn-2020--id15616546.htm?SETLANG=en_GB&SETCURR=EUR
46,Rolex,Air King,116900, Rolex Air-King,Price on request,2019," Original papers, no original box", Men''s watch/Unisex,"United States of America, California, SAN DIEGO",https://www.chrono24.fr/rolex/rolex-air-king--id16563310.htm?SETLANG=en_GB&SETCURR=EUR
47,Rolex,Air King Precision,14000, Rolex Air King Precision,"3,600 €",2005," No original box, no original papers", Men''s watch/Unisex,"Italy, Roma",https://www.chrono24.fr/rolex/air-king-precision--id7232797.htm?SETLANG=en_GB&SETCURR=EUR
48,Rolex,Air King Precision,14000, Rolex Air-King 14000 Stahl 34mm Black Dial - Box &amp; Papiere 1999,"4,150 €",1999," Original box, original papers", Men''s watch/Unisex,"Germany, Hamburg",https://www.chrono24.fr/rolex/rolex-air-king-14000-stahl-34mm-black-dial---box--papiere-1999--id16418648.htm?SETLANG=en_GB&SETCURR=EUR
49,Rolex,Air King Precision,14000, Rolex Air King Precision,"4,450 €",1998," Original papers, no original box", Men''s watch/Unisex,"France, Lyon",https://www.chrono24.fr/rolex/air-king-precision--id15419914.htm?SETLANG=en_GB&SETCURR=EUR
50,,,,Rolex Air King,,,,,,https://www.chrono24.fr/rolex/air-king-2020--id16176539.htm?SETLANG=en_GB&SETCURR=EUR
51,Rolex,Air King,116900, Rolex Air-King,"6,450 €",2017," Original box, original papers", Men''s watch/Unisex,"Spain, ALICANTE",https://www.chrono24.fr/rolex/rolex-air-king--id16468023.htm?SETLANG=en_GB&SETCURR=EUR
52,Rolex,Air King,116900, Rolex Air King Papiere 116900 Papiere Box 2018,"7,999 €",2018," Original box, original papers", Men''s watch/Unisex,"Germany, Juwelier Arnold in Hamburg Colonnaden 26",https://www.chrono24.fr/rolex/rolex-rolex-air-king-papiere--116900-papiere-box-2018--id12183395.htm?SETLANG=en_GB&SETCURR=EUR
53,Rolex,Air King,114200, Rolex Air-King,"4,700 €",2012," Original box, original papers", Men''s watch/Unisex,"Italy, Milano",https://www.chrono24.fr/rolex/rolex-air-king--id16382223.htm?SETLANG=en_GB&SETCURR=EUR
54,Rolex,Air King Precision,5500, Rolex Ghost Blue Air King Oyster Perpetual Precision,"2,936 €",1972," No original box, no original papers", Men''s watch/Unisex,"United States of America, South Carolina, Charleston",https://www.chrono24.fr/rolex/ghost-blue-air-king-oyster-perpetual-precision--id16347670.htm?SETLANG=en_GB&SETCURR=EUR
55,Rolex,Air King Precision,14010, Rolex Air King Precision,"3,507 €",2000," Original box, no original papers", Men''s watch/Unisex,"United States of America, Florida, Miami Beach",https://www.chrono24.fr/rolex/rolex-air-king-precision--id15478740.htm?SETLANG=en_GB&SETCURR=EUR
56,Rolex,Air King Precision,14010M, Rolex Air-King ref. 14010M anno 2005 B&amp;P garanzia Bucherer,"4,300 €",2005," Original box, original papers", Men''s watch/Unisex,"Italy, Rassina",https://www.chrono24.fr/rolex/rolex-air-king-ref-14010m-anno-2005-bp-garanzia-bucherer--id16533456.htm?SETLANG=en_GB&SETCURR=EUR
57,Rolex,Air King Precision,5500, Rolex Oyster Perpetual Stahl,"3,250 €",1972," No original box, no original papers",,"Germany, München",https://www.chrono24.fr/rolex/oyster-perpetual-stahl--id6168013.htm?SETLANG=en_GB&SETCURR=EUR
58,Rolex,Air King Precision,14000, Rolex Air-King 14000 Silver anno 1998,,1998," No original box, no original papers", Men''s watch/Unisex,"Italy, Parete",https://www.chrono24.fr/rolex/rolex-air-king-14000-silver-anno-1998--id16456033.htm?SETLANG=en_GB&SETCURR=EUR
59,Rolex,Air King,114234, Rolex Air-King 34MM Automatic White Dial Like New Box 114234 2007,"4,950 €",2007," Original box, no original papers", Men''s watch/Unisex,"Germany, Berlin",https://www.chrono24.fr/rolex/air-king-34mm-white-gold-bezel-like-new-box-114234-2007--id16537427.htm?SETLANG=en_GB&SETCURR=EUR
60,Rolex,Air King,116900, Rolex Air King 116900 - &#39;Hunter&#39; - Hercules Watch Co,"13,958 €",2018," Original box, original papers", Men''s watch/Unisex,"United Kingdom, London",https://www.chrono24.fr/rolex/air-king-116900---hunter---hercules-watch-co--id10599280.htm?SETLANG=en_GB&SETCURR=EUR
61,Rolex,Air King Precision,5500, Rolex Air-King,"4,208 €",1967," No original box, no original papers", Men''s watch/Unisex,"United States of America, Florida, Miami Beach",https://www.chrono24.fr/rolex/rolex-air-king--id16256430.htm?SETLANG=en_GB&SETCURR=EUR
62,Rolex,Air King Precision,5506, Rolex Air-King Super Precision 5506,"6,142 €",1960," Original box, original papers", Men''s watch/Unisex,"United Kingdom, London",https://www.chrono24.fr/rolex/air-king-super-precision-5506--id15462574.htm?SETLANG=en_GB&SETCURR=EUR
63,Rolex,Air King,116900, Rolex Air King Papiere 116900 Papiere 2016,"7,590 €",2016," Original box, original papers", Men''s watch/Unisex,"Germany, Juwelier Arnold in Hamburg Colonnaden 26",https://www.chrono24.fr/rolex/rolex-rolex-air-king-papiere--116900-papiere-2016--id9238781.htm?SETLANG=en_GB&SETCURR=EUR
64,Rolex,Air King,116900-0001, Rolex Air-King 116900,"6,970 €",Unknown," Original box, original papers", Men''s watch/Unisex,"United States of America, Pennsylvania, Bala Cynwyd",https://www.chrono24.fr/rolex/air-king-116900--id16257172.htm?SETLANG=en_GB&SETCURR=EUR
65,Rolex,Air King Precision,14000M, Rolex Air-King,"3,829 €",2005," Original box, original papers", Men''s watch/Unisex,"Sweden, Stockholm",https://www.chrono24.fr/rolex/rolex-air-king--id16593591.htm?SETLANG=en_GB&SETCURR=EUR
66,Rolex,Air King Precision,14000, Rolex Air-King 14000 Silver anno 1998,,1998," No original box, no original papers", Men''s watch/Unisex,"Italy, Parete",https://www.chrono24.fr/rolex/rolex-air-king-14000-silver-anno-1998--id16456033.htm?SETLANG=en_GB&SETCURR=EUR
67,Rolex,Air King Precision,5500, Rolex Oyster Perpetual Airking Stahl,"3,150 €",1970," No original box, no original papers",,"Germany, München",https://www.chrono24.fr/rolex/oyster-perpetual-airking-stahl--id7685318.htm?SETLANG=en_GB&SETCURR=EUR
68,Rolex,Air King Precision,14010M, Rolex Air-King ref. 14010M anno 2005 B&amp;P garanzia Bucherer,"4,300 €",2005," Original box, original papers", Men''s watch/Unisex,"Italy, Rassina",https://www.chrono24.fr/rolex/rolex-air-king-ref-14010m-anno-2005-bp-garanzia-bucherer--id16533456.htm?SETLANG=en_GB&SETCURR=EUR
69,Rolex,Air King,116900, Rolex Air-King - NEW JUNE 2020,"7,314 €",2020," Original box, original papers", Men''s watch/Unisex,"United Kingdom, Edinburgh",https://www.chrono24.fr/rolex/rolex-air-king---new-june-2020--id15983923.htm?SETLANG=en_GB&SETCURR=EUR
70,Rolex,Air King Precision,14010, Rolex Air King Precision,"3,507 €",2000," Original box, no original papers", Men''s watch/Unisex,"United States of America, Florida, Miami Beach",https://www.chrono24.fr/rolex/rolex-air-king-precision--id15478740.htm?SETLANG=en_GB&SETCURR=EUR
71,Rolex,Air King,, Rolex 5500 Air-king – Stainless Steel – 3 6 9 Waffle Dial – Vintage 1963,"10,044 €",1963," No original box, no original papers",,"United Kingdom, NORTH WALES",https://www.chrono24.fr/rolex/rolex-5500-air-king--stainless-steel--3-6-9-waffle-dial--vintage-1963--id16578532.htm?SETLANG=en_GB&SETCURR=EUR
72,Rolex,Air King Precision,5500, Rolex Air King 5500 Precision Rare Arabic Dial Vintage - 1958,"5,583 €",1958," No original box, no original papers", Men''s watch/Unisex,"United Kingdom, London",https://www.chrono24.fr/rolex/rolex-air-king-5500-precision-rare-arabic-dial-vintage---1958--id13127000.htm?SETLANG=en_GB&SETCURR=EUR
73,Rolex,Air King,114210, Rolex Air-King 114210,"3,726 €",Unknown," No original box, no original papers", Men''s watch/Unisex,"United States of America, Pennsylvania, Bala Cynwyd",https://www.chrono24.fr/rolex/air-king-114210--id16135373.htm?SETLANG=en_GB&SETCURR=EUR
74,Rolex,Air King Precision,14000, Rolex Air-King,"4,770 €",2008," Original box, original papers", Men''s watch/Unisex,"Italy, Torre Melissa (KR)",https://www.chrono24.fr/rolex/rolex-air-king--id16222389.htm?SETLANG=en_GB&SETCURR=EUR
75,Rolex,Air King Precision,14000, Rolex Airking Air King,"3,900 €",Unknown," No original box, no original papers",,"Germany, München",https://www.chrono24.fr/rolex/airking-air-king--id12868806.htm?SETLANG=en_GB&SETCURR=EUR
76,Rolex,Air King Precision,5500, Rolex Oyster Perpetual Stahl,"3,250 €",1972," No original box, no original papers",,"Germany, München",https://www.chrono24.fr/rolex/oyster-perpetual-stahl--id6168013.htm?SETLANG=en_GB&SETCURR=EUR
77,Rolex,Air King,116900, Rolex Air-King - July 2020 - New Style Card - Box/Card/Papers - Oyster - 116900 AirKing,"6,925 €",2020," Original box, original papers", Men''s watch/Unisex,"United States of America, California, Beverly Hills",https://www.chrono24.fr/rolex/rolex-air-king---july-2020---new-style-card---boxcardpapers---oyster---116900-airking--id16504423.htm?SETLANG=en_GB&SETCURR=EUR
78,Rolex,Air King,114200, Rolex Air-King,"4,700 €",2012," Original box, original papers", Men''s watch/Unisex,"Italy, Milano",https://www.chrono24.fr/rolex/rolex-air-king--id16382223.htm?SETLANG=en_GB&SETCURR=EUR
79,Rolex,Air King,114200, Rolex Air King,"4,296 €",2007," Original papers, no original box", Men''s watch/Unisex,"United States of America, California, Santa Monica",https://www.chrono24.fr/rolex/rolex-air-king--id15290217.htm?SETLANG=en_GB&SETCURR=EUR
80,Rolex,Air King,, Rolex Air-king 5500 3-6-9 Dial –steel - Vintage 1962,"6,694 €",1962," No original box, no original papers",,"United Kingdom, NORTH WALES",https://www.chrono24.fr/rolex/rolex-air-king-5500-3-6-9-dial-steel---vintage-1962--id16589851.htm?SETLANG=en_GB&SETCURR=EUR
81,Rolex,Air King Precision,14010M, Rolex Air King Precision 14010M White Roman Numeral Dial 34mm,"3,797 €",2001," Original box, original papers", Men''s watch/Unisex,"United Kingdom, London",https://www.chrono24.fr/rolex/air-king-precision-14010m-white-roman-numeral-dial-34mm--id13453221.htm?SETLANG=en_GB&SETCURR=EUR
82,Rolex,Air King,114200 WHT ROM OYS, Rolex Air-King 114200,"3,726 €",Unknown," No original box, no original papers", Men''s watch/Unisex,"United States of America, Pennsylvania, Bala Cynwyd",https://www.chrono24.fr/rolex/air-king-114200--id16135245.htm?SETLANG=en_GB&SETCURR=EUR
83,Rolex,Air King Precision,5500," Rolex Vintage Air-King with Pink Gold Arabic Numerals, Ref: 5500","4,188 €",1972," No original box, no original papers", Men''s watch/Unisex,"United Kingdom, London",https://www.chrono24.fr/rolex/vintage-air-king-with-pink-gold-arabic-numerals-ref-5500--id9291237.htm?SETLANG=en_GB&SETCURR=EUR
84,Rolex,Air King,116900, Rolex Air-King NEW 2020 Warranty Card,"7,013 €",2020," Original box, original papers", Men''s watch/Unisex,"United States of America, New Jersey, Totowa",https://www.chrono24.fr/rolex/rolex-air-king-new-2020-warranty-card--id15791076.htm?SETLANG=en_GB&SETCURR=EUR
85,Rolex,Air King,116900, Rolex 2020 STICKERED Rolex Air-King 40mm Green Black Arabic 116900 Watch B+P 2020 FULLY STICKERED Rolex Air-King 40mm Watch 116900,"7,009 €",Unknown," Original box, original papers", Men''s watch/Unisex,"United States of America, New York, Massapequa Park",https://www.chrono24.fr/rolex/2020-stickered-rolex-air-king-40mm-green-black-arabic-116900-watch-bp-2020-fully-stickered-rolex-air-king-40mm-watch-116900--id16487163.htm?SETLANG=en_GB&SETCURR=EUR
86,Rolex,Air King,114200, Rolex Air-king 114200 1.35ct Diamonds Bezel Mop Dial Oyster Mint,"5,698 €",Unknown," No original box, no original papers",,"United States of America, Florida, Boca Raton",https://www.chrono24.fr/rolex/rolex-air-king-114200-135ct-diamonds-bezel-mop-dial-oyster-mint--id10253501.htm?SETLANG=en_GB&SETCURR=EUR
87,Rolex,Air King Precision,14000, Rolex Oyster Air King 14000 A-Series Logo Dial Safe Driver,"4,399 €",1999," No original box, no original papers",,"Germany, Iffezheim",https://www.chrono24.fr/rolex/rolex-oyster-air-king-14000-a-series-logo-dial-safe-driver--id11534524.htm?SETLANG=en_GB&SETCURR=EUR
88,Rolex,Air King,116900, Rolex Air King,"7,000 €",2020," Original box, original papers", Men''s watch/Unisex,"The Netherlands, Rijnsburg",https://www.chrono24.fr/rolex/air-king--id14353597.htm?SETLANG=en_GB&SETCURR=EUR
89,Rolex,Air King Precision,5500, Rolex Air-king 5500 3-6-9 Dial - Vintage 1967 - Box &amp; Papers,"8,654 €",1967," Original box, original papers",,"United Kingdom, NORTH WALES",https://www.chrono24.fr/rolex/rolex-air-king-5500-3-6-9-dial---vintage-1967---box--papers--id16006543.htm?SETLANG=en_GB&SETCURR=EUR
90,Rolex,Air King,116900, Rolex Air King LC100 Neu,"7,290 €",2019," Original box, original papers", Men''s watch/Unisex,"Germany, Siegburg",https://www.chrono24.fr/rolex/rolex-air-king-lc100-neu--id16486330.htm?SETLANG=en_GB&SETCURR=EUR
91,Rolex,Air King Precision,14010 BLU IA OYS, Rolex Air-King 14010,"3,814 €",Unknown," No original box, no original papers", Men''s watch/Unisex,"United States of America, Pennsylvania, Bala Cynwyd",https://www.chrono24.fr/rolex/air-king-14010--id16530734.htm?SETLANG=en_GB&SETCURR=EUR
92,Rolex,Air King Date,5700," Rolex Vintage Air-King Date , Ref: 5700","3,629 €",1987," No original box, no original papers", Men''s watch/Unisex,"United Kingdom, London",https://www.chrono24.fr/rolex/vintage-air-king-date--ref-5700--id5744289.htm?SETLANG=en_GB&SETCURR=EUR
93,Rolex,Air King Precision,14000M, Rolex Air King Precision 14000M White Roman Numerals c. 2002 Oyster Steel 34 mm,"3,244 €",2002," No original box, no original papers", Men''s watch/Unisex,"United States of America, Massachusetts, Boston",https://www.chrono24.fr/rolex/rolex-air-king-precision-14000m-white-roman-numerals-c-2002-oyster-steel-34-mm--id14467253.htm?SETLANG=en_GB&SETCURR=EUR
94,Rolex,Air King,, Rolex UNPOLISHED Rolex Oyster Perpetual Air-King PATINA 14010 NO HOLES 34mm 14000,"2,887 €",Unknown," No original box, no original papers", Men''s watch/Unisex,"United States of America, New York, Massapequa Park",https://www.chrono24.fr/rolex/unpolished-rolex-oyster-perpetual-air-king-patina-14010-no-holes-34mm-14000--id16004986.htm?SETLANG=en_GB&SETCURR=EUR
95,Rolex,Air King,114200, Rolex Air King Oyster Stainless Steel 114200 34mm Automatic Mint,"3,944 €",Unknown," Original box, no original papers",,"United States of America, Florida, Boca Raton",https://www.chrono24.fr/rolex/rolex-air-king-oyster-stainless-steel-114200-34mm-automatic-mint--id10253333.htm?SETLANG=en_GB&SETCURR=EUR
96,Rolex,Air King,114200, Rolex Air-King,"4,600 €",2009," Original papers, no original box", Men''s watch/Unisex,"Italy, Venezia",https://www.chrono24.fr/rolex/rolex-air-king--id16278854.htm?SETLANG=en_GB&SETCURR=EUR
97,Rolex,Air King Precision,14000M, Rolex Air King Precision 34mm PinkDial CustomDiamonds (BOXonly2003,"4,850 €",2003," Original box, no original papers", Men''s watch/Unisex,"Belgium, Antwerpen",https://www.chrono24.fr/rolex/air-king-precision-34mm-pinkdial-customdiamonds-boxonly2003--id12869577.htm?SETLANG=en_GB&SETCURR=EUR
98,Rolex,Air King,, Rolex 5500 Air-king - Steel - 3 6 9 Waffle Dial - Vintage 1963,"6,689 €",1963," No original box, no original papers",,"United Kingdom, NORTH WALES",https://www.chrono24.fr/rolex/5500-air-king---steel---3-6-9-waffle-dial---vintage-1963--id15319581.htm?SETLANG=en_GB&SETCURR=EUR
